.52 Gal
Jump Shot Randomization
0 0 0 12.0
0 1 3 10.4708
0 2 6 9.7405
0 3 9 9.1796
1 0 10 9.0156
0 4 12 8.7146
1 1 13 8.5752
0 5 15 8.3167
1 2 16 8.1955
0 6 18 7.9695
1 3 19 7.8634
2 0 20 7.7615
0 7 21 7.6639
1 4 22 7.5701
2 1 23 7.4798
0 8 24 7.3932
1 5 25 7.3104
2 2 26 7.2302
0 9 27 7.1534
1 6 28 7.0799
2 3 29 7.0091
3 0 30 6.9411
1 7 31 6.876
2 4 32 6.8135
3 1 33 6.7534
1 8 34 6.6961
2 5 35 6.6415
3 2 36 6.5889
1 9 37 6.5388
2 6 38 6.4913
3 3 39 6.446
1 10 40 6.4027
2 7 41 6.3619
3 4 42 6.3231
1 11 43 6.2863
2 8 44 6.2519
3 5 45 6.2194
1 12 46 6.1892
2 9 47 6.1609
3 6 48 6.1348
2 10 50 6.0882
3 7 51 6.068
2 11 53 6.0331
3 8 54 6.0186
2 12 56 6.0
3 9 57 6.0
