Aerospray
Increased Ink Coverage
0 0 0 12.0
0 1 3 12.468
0 2 6 12.7085
0 3 9 12.8968
1 0 10 12.9523
0 4 12 13.0546
1 1 13 13.1022
0 5 15 13.1909
1 2 16 13.2325
0 6 18 13.3105
1 3 19 13.3471
2 0 20 13.3824
0 7 21 13.4163
1 4 22 13.4489
2 1 23 13.4803
0 8 24 13.5104
1 5 25 13.5393
2 2 26 13.5673
0 9 27 13.5941
1 6 28 13.6198
2 3 29 13.6446
3 0 30 13.6684
1 7 31 13.6912
2 4 32 13.7131
3 1 33 13.7342
1 8 34 13.7544
2 5 35 13.7736
3 2 36 13.7921
1 9 37 13.8097
2 6 38 13.8264
3 3 39 13.8424
1 10 40 13.8577
2 7 41 13.8721
3 4 42 13.8858
1 11 43 13.8987
2 8 44 13.9109
3 5 45 13.9224
1 12 46 13.9331
2 9 47 13.9431
3 6 48 13.9523
2 10 50 13.9688
3 7 51 13.9759
2 11 53 13.9883
3 8 54 13.9934
2 12 56 14.0
3 9 57 14.0
