Bamboozler 14
Base Damage Up
0 0 0 30.0-85.0
0 1 3 30.5-86.6
0 2 6 31.1-88.2
0 3 9 31.6-89.6
1 0 10 31.8-90.1
0 4 12 32.1-91.0
1 1 13 32.3-91.5
0 5 15 32.6-92.3
1 2 16 32.7-92.8
0 6 18 33.0-93.6
1 3 19 33.1-94.0
2 0 20 33.3-94.3
0 7 21 33.4-94.7
1 4 22 33.5-95.1
2 1 23 33.6-95.4
0 8 24 33.8-95.8
1 5 25 33.9-96.1
2 2 26 34.0-96.4
0 9 27 34.1-96.8
1 6 28 34.2-97.1
2 3 29 34.3-97.4
3 0 30 34.4-97.6
1 7 31 34.5-97.9
2 4 32 34.6-98.2
3 1 33 34.7-98.5
1 8 34 34.8-98.7
2 5 35 34.9-99.0
3 2 36 35.0-99.2
1 9 37 35.1-99.4
2 6 38 35.1-99.6
3 3 39 35.2-99.8
1 10 40 35.3-99.9
2 7 41 35.3-99.9
3 4 42 35.4-99.9
1 11 43 35.5-99.9
2 8 44 35.5-99.9
3 5 45 35.6-99.9
1 12 46 35.6-99.9
2 9 47 35.7-99.9
3 6 48 35.7-99.9
2 10 50 35.8-99.9
3 7 51 35.8-99.9
2 11 53 35.9-99.9
3 8 54 35.9-99.9
2 12 56 36.0-99.9
3 9 57 36.0-99.9
