Blaster
Increased Shot Accuracy
0 0 0 10.0
0 1 3 9.6136
0 2 6 9.2468
0 3 9 8.8996
1 0 10 8.788
0 4 12 8.5716
1 1 13 8.4664
0 5 15 8.2632
1 2 16 8.1644
0 6 18 7.974
1 3 19 7.882
2 0 20 7.792
0 7 21 7.7044
1 4 22 7.6188
2 1 23 7.5352
0 8 24 7.454
1 5 25 7.3752
2 2 26 7.298
0 9 27 7.2232
1 6 28 7.1508
2 3 29 7.0804
3 0 30 7.012
1 7 31 6.946
2 4 32 6.882
3 1 33 6.82
1 8 34 6.7604
2 5 35 6.7032
3 2 36 6.6476
1 9 37 6.5944
2 6 38 6.5436
3 3 39 6.4948
1 10 40 6.448
2 7 41 6.4036
3 4 42 6.3612
1 11 43 6.3208
2 8 44 6.2828
3 5 45 6.2468
1 12 46 6.2132
2 9 47 6.1816
3 6 48 6.1524
2 10 50 6.1
3 7 51 6.0772
2 11 53 6.0376
3 8 54 6.0212
2 12 56 6.0
3 9 57 6.0
