Bloblobber
Increased Ink Coverage
0 0 0 1.0
0 1 3 1.0193
0 2 6 1.0377
0 3 9 1.055
1 0 10 1.0606
0 4 12 1.0714
1 1 13 1.0767
0 5 15 1.0868
1 2 16 1.0918
0 6 18 1.1013
1 3 19 1.1059
2 0 20 1.1104
0 7 21 1.1148
1 4 22 1.1191
2 1 23 1.1232
0 8 24 1.1273
1 5 25 1.1312
2 2 26 1.1351
0 9 27 1.1388
1 6 28 1.1425
2 3 29 1.146
3 0 30 1.1494
1 7 31 1.1527
2 4 32 1.1559
3 1 33 1.159
1 8 34 1.162
2 5 35 1.1648
3 2 36 1.1676
1 9 37 1.1703
2 6 38 1.1728
3 3 39 1.1753
1 10 40 1.1776
2 7 41 1.1798
3 4 42 1.1819
1 11 43 1.184
2 8 44 1.1859
3 5 45 1.1877
1 12 46 1.1893
2 9 47 1.1909
3 6 48 1.1924
2 10 50 1.195
3 7 51 1.1961
2 11 53 1.1981
3 8 54 1.1989
2 12 56 1.2
3 9 57 1.2
