Carbon Roller
Vertical Flick Damage Up
0 0 0 35.0-120.0
0 1 3 35.5-121.7
0 2 6 35.9-123.3
0 3 9 36.4-124.9
1 0 10 36.5-125.4
0 4 12 36.8-126.4
1 1 13 37.0-126.9
0 5 15 37.2-127.8
1 2 16 37.4-128.2
0 6 18 37.6-129.1
1 3 19 37.7-129.5
2 0 20 37.8-129.9
0 7 21 38.0-130.3
1 4 22 38.1-130.7
2 1 23 38.2-131.0
0 8 24 38.3-131.4
1 5 25 38.4-131.8
2 2 26 38.5-132.1
0 9 27 38.6-132.4
1 6 28 38.7-132.8
2 3 29 38.8-133.1
3 0 30 38.9-133.4
1 7 31 39.0-133.7
2 4 32 39.0-134.0
3 1 33 39.1-134.3
1 8 34 39.2-134.5
2 5 35 39.3-134.8
3 2 36 39.4-135.0
1 9 37 39.4-135.3
2 6 38 39.5-135.5
3 3 39 39.6-135.7
1 10 40 39.6-135.9
2 7 41 39.7-136.1
3 4 42 39.7-136.3
1 11 43 39.8-136.5
2 8 44 39.8-136.7
3 5 45 39.9-136.8
1 12 46 39.9-137.0
2 9 47 40.0-137.1
3 6 48 40.0-137.3
2 10 50 40.1-137.5
3 7 51 40.1-137.6
2 11 53 40.2-137.8
3 8 54 40.2-137.9
2 12 56 40.2-138.0
3 9 57 40.2-138.0
