Dynamo Roller
Vertical Flick Damage Up
0 0 0 40.0-180.0
0 1 3 40.5-182.6
0 2 6 41.1-185.0
0 3 9 41.6-187.4
1 0 10 41.8-188.1
0 4 12 42.1-189.6
1 1 13 42.3-190.3
0 5 15 42.6-191.7
1 2 16 42.7-192.3
0 6 18 43.0-193.6
1 3 19 43.1-194.2
2 0 20 43.3-194.9
0 7 21 43.4-195.4
1 4 22 43.5-196.0
2 1 23 43.6-196.6
0 8 24 43.8-197.1
1 5 25 43.9-197.7
2 2 26 44.0-198.2
0 9 27 44.1-198.7
1 6 28 44.2-199.2
2 3 29 44.3-199.7
3 0 30 44.4-200.1
1 7 31 44.5-200.6
2 4 32 44.6-201.0
3 1 33 44.7-201.4
1 8 34 44.8-201.8
2 5 35 44.9-202.2
3 2 36 45.0-202.6
1 9 37 45.1-202.9
2 6 38 45.1-203.3
3 3 39 45.2-203.6
1 10 40 45.3-203.9
2 7 41 45.3-204.2
3 4 42 45.4-204.5
1 11 43 45.5-204.8
2 8 44 45.5-205.0
3 5 45 45.6-205.3
1 12 46 45.6-205.5
2 9 47 45.7-205.7
3 6 48 45.7-205.9
2 10 50 45.8-206.3
3 7 51 45.8-206.4
2 11 53 45.9-206.7
3 8 54 45.9-206.8
2 12 56 45.9-207.0
3 9 57 45.9-207.0
