E-Liter 4k Scope
Full Charge Distance
0 0 0 310.5
0 1 3 311.949
0 2 6 313.3245
0 3 9 314.6265
1 0 10 315.045
0 4 12 315.8565
1 1 13 316.251
0 5 15 317.013
1 2 16 317.3835
0 6 18 318.0975
1 3 19 318.4425
2 0 20 318.78
0 7 21 319.1085
1 4 22 319.4295
2 1 23 319.743
0 8 24 320.0475
1 5 25 320.343
2 2 26 320.6325
0 9 27 320.913
1 6 28 321.1845
2 3 29 321.4485
3 0 30 321.705
1 7 31 321.9525
2 4 32 322.1925
3 1 33 322.425
1 8 34 322.6485
2 5 35 322.863
3 2 36 323.0715
1 9 37 323.271
2 6 38 323.4615
3 3 39 323.6445
1 10 40 323.82
2 7 41 323.9865
3 4 42 324.1455
1 11 43 324.297
2 8 44 324.4395
3 5 45 324.5745
1 12 46 324.7005
2 9 47 324.819
3 6 48 324.9285
2 10 50 325.125
3 7 51 325.2105
2 11 53 325.359
3 8 54 325.4205
2 12 56 325.5
3 9 57 325.5
