E-Liter 4k
Full Charge Distance
0 0 0 290.5
0 1 3 290.5541
0 2 6 290.9006
0 3 9 291.7492
1 0 10 292.1691
0 4 12 293.2323
1 1 13 293.8815
0 5 15 295.4116
1 2 16 296.2984
0 6 18 298.2963
1 3 19 299.4074
2 0 20 300.5918
0 7 21 301.8412
1 4 22 303.1578
2 1 23 304.5384
0 8 24 305.972
1 5 25 307.4535
2 2 26 308.9938
0 9 27 310.5727
1 6 28 312.184
2 3 29 313.8314
3 0 30 315.51
1 7 31 317.2041
2 4 32 318.9184
3 1 33 320.6476
1 8 34 322.3747
2 5 35 324.093
3 2 36 325.8215
1 9 37 327.5299
2 6 38 329.2118
3 3 39 330.8747
1 10 40 332.5136
2 7 41 334.1089
3 4 42 335.6696
1 11 43 337.1908
2 8 44 338.6525
3 5 45 340.0651
1 12 46 341.4083
2 9 47 342.6934
3 6 48 343.9
2 10 50 346.1116
3 7 51 347.0926
2 11 53 348.8239
3 8 54 349.551
2 12 56 350.5
3 9 57 350.5
