Explosher
Increased Ink Coverage
0 0 0 1.0
0 1 3 1.029
0 2 6 1.0565
0 3 9 1.0825
1 0 10 1.0909
0 4 12 1.1071
1 1 13 1.115
0 5 15 1.1303
1 2 16 1.1377
0 6 18 1.152
1 3 19 1.1588
2 0 20 1.1656
0 7 21 1.1722
1 4 22 1.1786
2 1 23 1.1849
0 8 24 1.1909
1 5 25 1.1969
2 2 26 1.2026
0 9 27 1.2083
1 6 28 1.2137
2 3 29 1.219
3 0 30 1.2241
1 7 31 1.229
2 4 32 1.2339
3 1 33 1.2385
1 8 34 1.243
2 5 35 1.2473
3 2 36 1.2514
1 9 37 1.2554
2 6 38 1.2592
3 3 39 1.2629
1 10 40 1.2664
2 7 41 1.2697
3 4 42 1.2729
1 11 43 1.2759
2 8 44 1.2788
3 5 45 1.2815
1 12 46 1.284
2 9 47 1.2864
3 6 48 1.2886
2 10 50 1.2925
3 7 51 1.2942
2 11 53 1.2972
3 8 54 1.2984
2 12 56 1.3
3 9 57 1.3
