Flingza Roller
Vertical Flick Damage Up
0 0 0 40.0-150.0
0 1 3 41.5-155.7
0 2 6 42.2-158.4
0 3 9 42.8-160.5
1 0 10 42.9-161.1
0 4 12 43.2-162.3
1 1 13 43.4-162.8
0 5 15 43.6-163.8
1 2 16 43.8-164.2
0 6 18 44.0-165.1
1 3 19 44.1-165.5
2 0 20 44.2-165.8
0 7 21 44.3-166.2
1 4 22 44.4-166.6
2 1 23 44.5-166.9
0 8 24 44.6-167.2
1 5 25 44.6-167.5
2 2 26 44.7-167.8
0 9 27 44.8-168.1
1 6 28 44.9-168.4
2 3 29 44.9-168.7
3 0 30 45.0-168.9
1 7 31 45.1-169.2
2 4 32 45.1-169.4
3 1 33 45.2-169.6
1 8 34 45.3-169.8
2 5 35 45.3-170.0
3 2 36 45.4-170.2
1 9 37 45.4-170.4
2 6 38 45.5-170.6
3 3 39 45.5-170.8
1 10 40 45.5-170.9
2 7 41 45.6-171.1
3 4 42 45.6-171.2
1 11 43 45.7-171.4
2 8 44 45.7-171.5
3 5 45 45.7-171.6
1 12 46 45.8-171.7
2 9 47 45.8-171.8
3 6 48 45.8-171.9
2 10 50 45.9-172.1
3 7 51 45.9-172.2
2 11 53 45.9-172.3
3 8 54 45.9-172.4
2 12 56 45.9-172.4
3 9 57 45.9-172.4
