Goo Tuber
Base Damage Up
0 0 0 40.0-130.0
0 1 3 40.5-131.8
0 2 6 41.1-133.6
0 3 9 41.6-135.3
1 0 10 41.8-135.9
0 4 12 42.1-136.9
1 1 13 42.3-137.4
0 5 15 42.6-138.4
1 2 16 42.7-138.9
0 6 18 43.0-139.8
1 3 19 43.1-140.3
2 0 20 43.3-140.7
0 7 21 43.4-141.1
1 4 22 43.5-141.6
2 1 23 43.6-142.0
0 8 24 43.8-142.4
1 5 25 43.9-142.7
2 2 26 44.0-143.1
0 9 27 44.1-143.5
1 6 28 44.2-143.8
2 3 29 44.3-144.2
3 0 30 44.4-144.5
1 7 31 44.5-144.8
2 4 32 44.6-145.2
3 1 33 44.7-145.5
1 8 34 44.8-145.7
2 5 35 44.9-146.0
3 2 36 45.0-146.3
1 9 37 45.1-146.6
2 6 38 45.1-146.8
3 3 39 45.2-147.0
1 10 40 45.3-147.3
2 7 41 45.3-147.5
3 4 42 45.4-147.7
1 11 43 45.5-147.9
2 8 44 45.5-148.1
3 5 45 45.6-148.2
1 12 46 45.6-148.4
2 9 47 45.7-148.6
3 6 48 45.7-148.7
2 10 50 45.8-149.0
3 7 51 45.8-149.1
2 11 53 45.9-149.3
3 8 54 45.9-149.3
2 12 56 45.9-149.4
3 9 57 45.9-149.4
