Hydra Splatling
Full Charge Damage Up
0 0 0 16.0-40.0
0 1 3 16.3-40.7
0 2 6 16.6-41.5
0 3 9 16.8-42.2
1 0 10 16.9-42.4
0 4 12 17.1-42.8
1 1 13 17.2-43.0
0 5 15 17.3-43.4
1 2 16 17.4-43.6
0 6 18 17.6-44.0
1 3 19 17.6-44.2
2 0 20 17.7-44.4
0 7 21 17.8-44.5
1 4 22 17.9-44.7
2 1 23 17.9-44.9
0 8 24 18.0-45.0
1 5 25 18.0-45.2
2 2 26 18.1-45.4
0 9 27 18.2-45.5
1 6 28 18.2-45.6
2 3 29 18.3-45.8
3 0 30 18.3-45.9
1 7 31 18.4-46.1
2 4 32 18.4-46.2
3 1 33 18.5-46.3
1 8 34 18.5-46.4
2 5 35 18.6-46.5
3 2 36 18.6-46.7
1 9 37 18.7-46.8
2 6 38 18.7-46.9
3 3 39 18.8-47.0
1 10 40 18.8-47.1
2 7 41 18.8-47.1
3 4 42 18.9-47.2
1 11 43 18.9-47.3
2 8 44 18.9-47.4
3 5 45 19.0-47.5
1 12 46 19.0-47.5
2 9 47 19.0-47.6
3 6 48 19.0-47.6
2 10 50 19.1-47.7
3 7 51 19.1-47.8
2 11 53 19.1-47.9
3 8 54 19.1-47.9
2 12 56 19.2-48.0
3 9 57 19.2-48.0
