Jet Squelcher
Bullet Velocity Multiplier
0 0 0 33.6
0 1 3 33.6852
0 2 6 33.832
0 3 9 34.0098
1 0 10 34.0737
0 4 12 34.2062
1 1 13 34.2744
0 5 15 34.4129
1 2 16 34.4832
0 6 18 34.6242
1 3 19 34.6948
2 0 20 34.7654
0 7 21 34.8354
1 4 22 34.9052
2 1 23 34.9745
0 8 24 35.0431
1 5 25 35.1106
2 2 26 35.1778
0 9 27 35.2438
1 6 28 35.3085
2 3 29 35.3722
3 0 30 35.4349
1 7 31 35.4961
2 4 32 35.556
3 1 33 35.6146
1 8 34 35.6716
2 5 35 35.7267
3 2 36 35.7807
1 9 37 35.8329
2 6 38 35.8831
3 3 39 35.9316
1 10 40 35.9785
2 7 41 36.0232
3 4 42 36.0662
1 11 43 36.1074
2 8 44 36.1464
3 5 45 36.1835
1 12 46 36.2183
2 9 47 36.2511
3 6 48 36.2816
2 10 50 36.3366
3 7 51 36.3606
2 11 53 36.4026
3 8 54 36.42
2 12 56 36.4426
3 9 57 36.4426
