Luna Blaster
Increased High-Damage Radius
0 0 0 10.0
0 1 3 10.7324
0 2 6 11.8833
0 3 9 13.2202
1 0 10 13.6919
0 4 12 14.6581
1 1 13 15.1509
0 5 15 16.1425
1 2 16 16.6428
0 6 18 17.6383
1 3 19 18.1337
2 0 20 18.6271
0 7 21 19.1154
1 4 22 19.6
2 1 23 20.0804
0 8 24 20.5535
1 5 25 21.0187
2 2 26 21.48
0 9 27 21.9323
1 6 28 22.3749
2 3 29 22.8098
3 0 30 23.2365
1 7 31 23.6521
2 4 32 24.0587
3 1 33 24.4559
1 8 34 24.8408
2 5 35 25.2129
3 2 36 25.5772
1 9 37 25.9282
2 6 38 26.2654
3 3 39 26.5913
1 10 40 26.9057
2 7 41 27.2055
3 4 42 27.4932
1 11 43 27.7687
2 8 44 28.0289
3 5 45 28.2765
1 12 46 28.5084
2 9 47 28.7274
3 6 48 28.9303
2 10 50 29.2962
3 7 51 29.456
2 11 53 29.7345
3 8 54 29.8502
2 12 56 30.0
3 9 57 30.0
