N-ZAP
Increased Ink Coverage
0 0 0 11.0
0 1 3 11.2851
0 2 6 11.511
0 3 9 11.7118
1 0 10 11.7745
0 4 12 11.8941
1 1 13 11.9515
0 5 15 12.0608
1 2 16 12.1134
0 6 18 12.2137
1 3 19 12.2618
2 0 20 12.3085
0 7 21 12.3538
1 4 22 12.3979
2 1 23 12.4407
0 8 24 12.4821
1 5 25 12.5221
2 2 26 12.5612
0 9 27 12.5989
1 6 28 12.6353
2 3 29 12.6706
3 0 30 12.7047
1 7 31 12.7376
2 4 32 12.7694
3 1 33 12.8002
1 8 34 12.8296
2 5 35 12.8578
3 2 36 12.8852
1 9 37 12.9113
2 6 38 12.9362
3 3 39 12.9601
1 10 40 12.983
2 7 41 13.0046
3 4 42 13.0253
1 11 43 13.0449
2 8 44 13.0634
3 5 45 13.0808
1 12 46 13.0971
2 9 47 13.1124
3 6 48 13.1265
2 10 50 13.1518
3 7 51 13.1628
2 11 53 13.1819
3 8 54 13.1898
2 12 56 13.2
3 9 57 13.2
