Range Blaster
Increased Shot Accuracy
0 0 0 8.0
0 1 3 7.7102
0 2 6 7.4351
0 3 9 7.1747
1 0 10 7.091
0 4 12 6.9287
1 1 13 6.8498
0 5 15 6.6974
1 2 16 6.6233
0 6 18 6.4805
1 3 19 6.4115
2 0 20 6.344
0 7 21 6.2783
1 4 22 6.2141
2 1 23 6.1514
0 8 24 6.0905
1 5 25 6.0314
2 2 26 5.9735
0 9 27 5.9174
1 6 28 5.8631
2 3 29 5.8103
3 0 30 5.759
1 7 31 5.7095
2 4 32 5.6615
3 1 33 5.615
1 8 34 5.5703
2 5 35 5.5274
3 2 36 5.4857
1 9 37 5.4458
2 6 38 5.4077
3 3 39 5.3711
1 10 40 5.336
2 7 41 5.3027
3 4 42 5.2709
1 11 43 5.2406
2 8 44 5.2121
3 5 45 5.1851
1 12 46 5.1599
2 9 47 5.1362
3 6 48 5.1143
2 10 50 5.075
3 7 51 5.0579
2 11 53 5.0282
3 8 54 5.0159
2 12 56 5.0
3 9 57 5.0
