Rapid Blaster Pro
Increased Shot Accuracy
0 0 0 8.0
0 1 3 7.6136
0 2 6 7.2468
0 3 9 6.8996
1 0 10 6.788
0 4 12 6.5716
1 1 13 6.4664
0 5 15 6.2632
1 2 16 6.1644
0 6 18 5.974
1 3 19 5.882
2 0 20 5.792
0 7 21 5.7044
1 4 22 5.6188
2 1 23 5.5352
0 8 24 5.454
1 5 25 5.3752
2 2 26 5.298
0 9 27 5.2232
1 6 28 5.1508
2 3 29 5.0804
3 0 30 5.012
1 7 31 4.946
2 4 32 4.882
3 1 33 4.82
1 8 34 4.7604
2 5 35 4.7032
3 2 36 4.6476
1 9 37 4.5944
2 6 38 4.5436
3 3 39 4.4948
1 10 40 4.448
2 7 41 4.4036
3 4 42 4.3612
1 11 43 4.3208
2 8 44 4.2828
3 5 45 4.2468
1 12 46 4.2132
2 9 47 4.1816
3 6 48 4.1524
2 10 50 4.1
3 7 51 4.0772
2 11 53 4.0376
3 8 54 4.0212
2 12 56 4.0
3 9 57 4.0
