Slosher
Max Damage Range
0 0 0 -15.0
0 1 3 -18.864
0 2 6 -22.532
0 3 9 -26.004
1 0 10 -27.12
0 4 12 -29.284
1 1 13 -30.336
0 5 15 -32.368
1 2 16 -33.356
0 6 18 -35.26
1 3 19 -36.18
2 0 20 -37.08
0 7 21 -37.956
1 4 22 -38.812
2 1 23 -39.648
0 8 24 -40.46
1 5 25 -41.248
2 2 26 -42.02
0 9 27 -42.768
1 6 28 -43.492
2 3 29 -44.196
3 0 30 -44.88
1 7 31 -45.54
2 4 32 -46.18
3 1 33 -46.8
1 8 34 -47.396
2 5 35 -47.968
3 2 36 -48.524
1 9 37 -49.056
2 6 38 -49.564
3 3 39 -50.052
1 10 40 -50.52
2 7 41 -50.964
3 4 42 -51.388
1 11 43 -51.792
2 8 44 -52.172
3 5 45 -52.532
1 12 46 -52.868
2 9 47 -53.184
3 6 48 -53.476
2 10 50 -54.0
3 7 51 -54.228
2 11 53 -54.624
3 8 54 -54.788
2 12 56 -55.0
3 9 57 -55.0
