Sloshing Machine
Increased Ink Coverage
0 0 0 1.0
0 1 3 1.0145
0 2 6 1.0282
0 3 9 1.0413
1 0 10 1.0454
0 4 12 1.0536
1 1 13 1.0575
0 5 15 1.0651
1 2 16 1.0688
0 6 18 1.076
1 3 19 1.0794
2 0 20 1.0828
0 7 21 1.0861
1 4 22 1.0893
2 1 23 1.0924
0 8 24 1.0955
1 5 25 1.0984
2 2 26 1.1013
0 9 27 1.1041
1 6 28 1.1068
2 3 29 1.1095
3 0 30 1.112
1 7 31 1.1145
2 4 32 1.1169
3 1 33 1.1192
1 8 34 1.1215
2 5 35 1.1236
3 2 36 1.1257
1 9 37 1.1277
2 6 38 1.1296
3 3 39 1.1314
1 10 40 1.1332
2 7 41 1.1349
3 4 42 1.1365
1 11 43 1.138
2 8 44 1.1394
3 5 45 1.1407
1 12 46 1.142
2 9 47 1.1432
3 6 48 1.1443
2 10 50 1.1462
3 7 51 1.1471
2 11 53 1.1486
3 8 54 1.1492
2 12 56 1.15
3 9 57 1.15
