Splat Brella
Canopy Regeneration Time
0 0 0 390.0
0 1 3 355.7958
0 2 6 335.0409
0 3 9 318.0519
1 0 10 312.9403
0 4 12 303.3994
1 1 13 298.9145
0 5 15 290.4952
1 2 16 286.5057
0 6 18 278.9879
1 3 19 275.4292
2 0 20 271.991
0 7 21 268.6832
1 4 22 265.4861
2 1 23 262.3956
0 8 24 259.4228
1 5 25 256.564
2 2 26 253.7872
0 9 27 251.1186
1 6 28 248.5553
2 3 29 246.0809
3 0 30 243.6933
1 7 31 241.4044
2 4 32 239.1985
3 1 33 237.074
1 8 34 235.043
2 5 35 233.1039
3 2 36 231.2284
1 9 37 229.4423
2 6 38 227.7443
3 3 39 226.1199
1 10 40 224.5682
2 7 41 223.1016
3 4 42 221.7059
1 11 43 220.3804
2 8 44 219.1375
3 5 45 217.9634
1 12 46 216.8706
2 9 47 215.8453
3 6 48 214.9001
2 10 50 213.209
3 7 51 212.4753
2 11 53 211.2038
3 8 54 210.6784
2 12 56 210.0
3 9 57 210.0
