Splat Charger
Base Damage Up
0 0 0 40.0-80.0
0 1 3 40.7-81.5
0 2 6 41.5-83.0
0 3 9 42.2-84.4
1 0 10 42.4-84.8
0 4 12 42.8-85.7
1 1 13 43.0-86.1
0 5 15 43.4-86.9
1 2 16 43.6-87.3
0 6 18 44.0-88.1
1 3 19 44.2-88.4
2 0 20 44.4-88.8
0 7 21 44.5-89.1
1 4 22 44.7-89.5
2 1 23 44.9-89.8
0 8 24 45.0-90.1
1 5 25 45.2-90.4
2 2 26 45.4-90.8
0 9 27 45.5-91.1
1 6 28 45.6-91.3
2 3 29 45.8-91.6
3 0 30 45.9-91.9
1 7 31 46.1-92.2
2 4 32 46.2-92.4
3 1 33 46.3-92.7
1 8 34 46.4-92.9
2 5 35 46.5-93.1
3 2 36 46.7-93.4
1 9 37 46.8-93.6
2 6 38 46.9-93.8
3 3 39 47.0-94.0
1 10 40 47.1-94.2
2 7 41 47.1-94.3
3 4 42 47.2-94.5
1 11 43 47.3-94.7
2 8 44 47.4-94.8
3 5 45 47.5-95.0
1 12 46 47.5-95.1
2 9 47 47.6-95.2
3 6 48 47.6-95.3
2 10 50 47.7-95.5
3 7 51 47.8-95.6
2 11 53 47.9-95.8
3 8 54 47.9-95.9
2 12 56 48.0-96.0
3 9 57 48.0-96.0
