Splat Roller
Vertical Flick Damage Up
0 0 0 40.0-180.0
0 1 3 41.5-186.8
0 2 6 42.2-190.1
0 3 9 42.8-192.6
1 0 10 42.9-193.4
0 4 12 43.2-194.7
1 1 13 43.4-195.4
0 5 15 43.6-196.5
1 2 16 43.8-197.1
0 6 18 44.0-198.1
1 3 19 44.1-198.6
2 0 20 44.2-199.0
0 7 21 44.3-199.5
1 4 22 44.4-199.9
2 1 23 44.5-200.3
0 8 24 44.6-200.7
1 5 25 44.6-201.1
2 2 26 44.7-201.4
0 9 27 44.8-201.8
1 6 28 44.9-202.1
2 3 29 44.9-202.4
3 0 30 45.0-202.7
1 7 31 45.1-203.0
2 4 32 45.1-203.3
3 1 33 45.2-203.6
1 8 34 45.3-203.8
2 5 35 45.3-204.1
3 2 36 45.4-204.3
1 9 37 45.4-204.5
2 6 38 45.5-204.7
3 3 39 45.5-204.9
1 10 40 45.5-205.1
2 7 41 45.6-205.3
3 4 42 45.6-205.5
1 11 43 45.7-205.7
2 8 44 45.7-205.8
3 5 45 45.7-206.0
1 12 46 45.8-206.1
2 9 47 45.8-206.2
3 6 48 45.8-206.3
2 10 50 45.9-206.6
3 7 51 45.9-206.6
2 11 53 45.9-206.8
3 8 54 45.9-206.9
2 12 56 45.9-207.0
3 9 57 45.9-207.0
