Splattershot Jr.
Increased Ink Coverage
0 0 0 12.9
0 1 3 12.9489
0 2 6 13.052
0 3 9 13.1897
1 0 10 13.2414
0 4 12 13.3514
1 1 13 13.4093
0 5 15 13.5294
1 2 16 13.5914
0 6 18 13.7178
1 3 19 13.7819
2 0 20 13.8466
0 7 21 13.9113
1 4 22 13.9763
2 1 23 14.0413
0 8 24 14.106
1 5 25 14.1702
2 2 26 14.2343
0 9 27 14.2978
1 6 28 14.3603
2 3 29 14.4222
3 0 30 14.4833
1 7 31 14.5432
2 4 32 14.6022
3 1 33 14.6602
1 8 34 14.7166
2 5 35 14.7715
3 2 36 14.8255
1 9 37 14.8778
2 6 38 14.9282
3 3 39 14.9771
1 10 40 15.0245
2 7 41 15.0698
3 4 42 15.1135
1 11 43 15.1555
2 8 44 15.1952
3 5 45 15.2332
1 12 46 15.2688
2 9 47 15.3025
3 6 48 15.3338
2 10 50 15.3904
3 7 51 15.4153
2 11 53 15.4586
3 8 54 15.4766
2 12 56 15.5
3 9 57 15.5
