Squiffer
Full Charge Distance
0 0 0 167.65
0 1 3 169.099
0 2 6 170.4745
0 3 9 171.7765
1 0 10 172.195
0 4 12 173.0065
1 1 13 173.401
0 5 15 174.163
1 2 16 174.5335
0 6 18 175.2475
1 3 19 175.5925
2 0 20 175.93
0 7 21 176.2585
1 4 22 176.5795
2 1 23 176.893
0 8 24 177.1975
1 5 25 177.493
2 2 26 177.7825
0 9 27 178.063
1 6 28 178.3345
2 3 29 178.5985
3 0 30 178.855
1 7 31 179.1025
2 4 32 179.3425
3 1 33 179.575
1 8 34 179.7985
2 5 35 180.013
3 2 36 180.2215
1 9 37 180.421
2 6 38 180.6115
3 3 39 180.7945
1 10 40 180.97
2 7 41 181.1365
3 4 42 181.2955
1 11 43 181.447
2 8 44 181.5895
3 5 45 181.7245
1 12 46 181.8505
2 9 47 181.969
3 6 48 182.0785
2 10 50 182.275
3 7 51 182.3605
2 11 53 182.509
3 8 54 182.5705
2 12 56 182.65
3 9 57 182.65
