Tri-Slosher
Increased Ink Coverage
0 0 0 1.0
0 1 3 1.0097
0 2 6 1.0188
0 3 9 1.0275
1 0 10 1.0303
0 4 12 1.0357
1 1 13 1.0383
0 5 15 1.0434
1 2 16 1.0459
0 6 18 1.0507
1 3 19 1.053
2 0 20 1.0552
0 7 21 1.0574
1 4 22 1.0595
2 1 23 1.0616
0 8 24 1.0636
1 5 25 1.0656
2 2 26 1.0675
0 9 27 1.0694
1 6 28 1.0712
2 3 29 1.073
3 0 30 1.0747
1 7 31 1.0764
2 4 32 1.0779
3 1 33 1.0795
1 8 34 1.081
2 5 35 1.0824
3 2 36 1.0838
1 9 37 1.0851
2 6 38 1.0864
3 3 39 1.0876
1 10 40 1.0888
2 7 41 1.0899
3 4 42 1.091
1 11 43 1.092
2 8 44 1.0929
3 5 45 1.0938
1 12 46 1.0947
2 9 47 1.0955
3 6 48 1.0962
2 10 50 1.0975
3 7 51 1.0981
2 11 53 1.0991
3 8 54 1.0995
2 12 56 1.1
3 9 57 1.1
