Undercover Brella
Canopy Regeneration Time
0 0 0 270.0
0 1 3 241.9226
0 2 6 227.4882
0 3 9 216.1939
1 0 10 212.8648
0 4 12 206.7231
1 1 13 203.8658
0 5 15 198.5488
1 2 16 196.0492
0 6 18 191.3714
1 3 19 189.171
2 0 20 187.0532
0 7 21 185.0231
1 4 22 183.0675
2 1 23 181.1831
0 8 24 179.3758
1 5 25 177.6427
2 2 26 175.9637
0 9 27 174.3542
1 6 28 172.8119
2 3 29 171.3264
3 0 30 169.896
1 7 31 168.5275
2 4 32 167.2111
3 1 33 165.9456
1 8 34 164.7378
2 5 35 163.5866
3 2 36 162.4747
1 9 37 161.4174
2 6 38 160.4136
3 3 39 159.4546
1 10 40 158.5396
2 7 41 157.6758
3 4 42 156.8546
1 11 43 156.0755
2 8 44 155.3457
3 5 45 154.6568
1 12 46 154.0162
2 9 47 153.4156
3 6 48 152.8623
2 10 50 151.8734
3 7 51 151.4447
2 11 53 150.7023
3 8 54 150.3957
2 12 56 150.0
3 9 57 150.0
